group,team_code,team_name
A,CZE,Czechia
A,KOR,Korea Republic
A,MEX,Mexico
A,RSA,South Africa
B,BIH,Bosnia and Herzegovina
B,CAN,Canada
B,QAT,Qatar
B,SUI,Switzerland
C,BRA,Brazil
C,HAI,Haiti
C,MAR,Morocco
C,SCO,Scotland
D,AUS,Australia
D,PAR,Paraguay
D,TUR,Turkiye
D,USA,United States
E,CIV,Cote d'Ivoire
E,CUW,Curacao
E,ECU,Ecuador
E,GER,Germany
F,JPN,Japan
F,NED,Netherlands
F,SWE,Sweden
F,TUN,Tunisia
G,BEL,Belgium
G,EGY,Egypt
G,IRN,Iran
G,NZL,New Zealand
H,CPV,Cabo Verde
H,ESP,Spain
H,KSA,Saudi Arabia
H,URU,Uruguay
I,FRA,France
I,IRQ,Iraq
I,NOR,Norway
I,SEN,Senegal
J,ALG,Algeria
J,ARG,Argentina
J,AUT,Austria
J,JOR,Jordan
K,COD,Congo DR
K,COL,Colombia
K,POR,Portugal
K,UZB,Uzbekistan
L,CRO,Croatia
L,ENG,England
L,GHA,Ghana
L,PAN,Panama
