slot,first_match,slot_kind,path,path_str
1A,79,fixed_group,,79 -> 92 -> 99 -> 102 -> 104
2A,73,fixed_group,,73 -> 90 -> 97 -> 101 -> 104
1B,85,fixed_group,,85 -> 96 -> 100 -> 102 -> 104
2B,73,fixed_group,,73 -> 90 -> 97 -> 101 -> 104
1C,76,fixed_group,,76 -> 91 -> 99 -> 102 -> 104
2C,75,fixed_group,,75 -> 90 -> 97 -> 101 -> 104
1D,81,fixed_group,,81 -> 94 -> 98 -> 101 -> 104
2D,88,fixed_group,,88 -> 95 -> 100 -> 102 -> 104
1E,74,fixed_group,,74 -> 89 -> 97 -> 101 -> 104
2E,78,fixed_group,,78 -> 91 -> 99 -> 102 -> 104
1F,75,fixed_group,,75 -> 90 -> 97 -> 101 -> 104
2F,76,fixed_group,,76 -> 91 -> 99 -> 102 -> 104
1G,82,fixed_group,,82 -> 94 -> 98 -> 101 -> 104
2G,88,fixed_group,,88 -> 95 -> 100 -> 102 -> 104
1H,84,fixed_group,,84 -> 93 -> 98 -> 101 -> 104
2H,86,fixed_group,,86 -> 95 -> 100 -> 102 -> 104
1I,77,fixed_group,,77 -> 89 -> 97 -> 101 -> 104
2I,78,fixed_group,,78 -> 91 -> 99 -> 102 -> 104
1J,86,fixed_group,,86 -> 95 -> 100 -> 102 -> 104
2J,84,fixed_group,,84 -> 93 -> 98 -> 101 -> 104
1K,87,fixed_group,,87 -> 96 -> 100 -> 102 -> 104
2K,83,fixed_group,,83 -> 93 -> 98 -> 101 -> 104
1L,80,fixed_group,,80 -> 92 -> 99 -> 102 -> 104
2L,83,fixed_group,,83 -> 93 -> 98 -> 101 -> 104
3ABCDF,74,third_place_pool,,74 -> 89 -> 97 -> 101 -> 104
3CDFGH,77,third_place_pool,,77 -> 89 -> 97 -> 101 -> 104
3CEFHI,79,third_place_pool,,79 -> 92 -> 99 -> 102 -> 104
3BEFIJ,81,third_place_pool,,81 -> 94 -> 98 -> 101 -> 104
3AEHIJ,82,third_place_pool,,82 -> 94 -> 98 -> 101 -> 104
3EFGIJ,85,third_place_pool,,85 -> 96 -> 100 -> 102 -> 104
3EHIJK,80,third_place_pool,,80 -> 92 -> 99 -> 102 -> 104
3DEIJL,87,third_place_pool,,87 -> 96 -> 100 -> 102 -> 104
